Time [s],Channel 2
10.598721000,1
10.598819167,0
10.598921083,1
10.599019208,0
10.599121083,1
10.599219250,0
10.599321125,1
10.599419292,0
10.599521208,1
10.599619333,0
10.599721208,1
10.599819333,0
10.599921208,1
10.600019375,0
10.600121250,1
10.600219458,0
10.600321292,1
10.600419458,0
10.600521375,1
10.600619500,0
10.600721417,1
10.600819542,0
10.600921417,1
10.601019542,0
10.601121458,1
10.601219625,0
10.601321500,1
10.601419667,0
10.601521542,1
10.601619667,0
10.601721583,1
10.601819708,0
10.601921583,1
10.602019750,0
10.602121667,1
10.602228208,0
10.602321708,1
10.602419833,0
10.602521708,1
10.602619875,0
10.602721750,1
10.602819875,0
10.602921792,1
10.603019917,0
10.603121792,1
10.603219958,0
10.603321875,1
10.603420000,0
10.603521875,1
10.603620000,0
10.603721917,1
10.603820083,0
10.603921917,1
10.604020083,0
10.604122042,1
10.604220125,0
10.604322000,1
10.604420167,0
10.604522042,1
10.604620208,0
10.604722125,1
10.604820208,0
10.604922167,1
10.605020250,0
10.605122125,1
10.605220333,0
10.605322208,1
10.605420375,0
10.605522250,1
10.605620375,0
10.605722292,1
10.605820417,0
10.605922292,1
10.606020458,0
10.606122333,1
10.606220458,0
10.606322417,1
10.606420542,0
10.606522417,1
10.606620542,0
10.606722417,1
10.606820583,0
10.606922542,1
10.607020625,0
10.607122542,1
10.607220667,0
10.607322542,1
10.607420708,0
10.607522625,1
10.607620708,0
10.607722625,1
10.607820750,0
10.607922667,1
10.608020792,0
10.608122708,1
10.608220833,0
10.608324000,1
10.608421542,0
10.608523542,1
10.608621625,0
10.608721750,1
10.608828750,0
10.608930000,1
10.609028167,0
10.609130875,1
10.609228042,0
10.609330500,1
10.609330542,0
10.609330750,1
10.609428000,0
10.609532583,1
10.609619042,0
10.609721042,1
10.609819125,0
10.609921042,1
10.610019167,0
10.610121083,1
10.610219208,0
10.610321125,1
10.610419250,0
10.610521167,1
10.610619292,0
10.610721167,1
10.610819292,0
10.610921083,1
10.611019333,0
10.611121292,1
10.611219375,0
10.611321292,1
10.611419417,0
10.611521333,1
10.611619583,0
10.611721375,1
10.611819500,0
10.611921417,1
10.612019500,0
10.612121417,1
10.612219542,0
10.612321458,1
10.612419625,0
10.612521500,1
10.612619625,0
10.612731292,1
10.612818583,0
10.612920250,1
10.613018375,0
10.613122542,1
10.613218667,0
10.613320667,1
10.613418792,0
10.613522083,1
10.613620333,0
10.613722208,1
10.613820375,0
10.613921417,1
10.614019583,0
10.614121542,1
10.614219625,0
10.614321500,1
10.614419667,0
10.614521583,1
10.614619708,0
10.614721542,1
10.614819750,0
10.614921667,1
10.615019792,0
10.615121667,1
10.615219833,0
10.615321708,1
10.615419875,0
10.615521792,1
10.615619917,0
10.615721750,1
10.615819917,0
10.615921792,1
10.616019958,0
10.616121875,1
10.616220000,0
10.616321875,1
10.616420042,0
10.616521917,1
10.616620042,0
10.616722000,1
10.616820083,0
10.616922000,1
10.617020125,0
10.617122042,1
10.617220167,0
10.617322083,1
10.617420208,0
10.617522083,1
10.617620208,0
10.617722125,1
10.617820250,0
10.617922125,1
10.618020292,0
10.618122208,1
10.618220333,0
10.618322250,1
10.618420375,0
10.618522250,1
10.618620417,0
10.618722292,1
10.618820417,0
10.618922333,1
10.619020458,0
10.619122375,1
10.619220500,0
10.619322333,1
10.619420583,0
10.619522417,1
10.619620583,0
10.619722500,1
10.619820625,0
10.619922542,1
10.620020625,0
10.620122542,1
10.620220667,0
10.620322625,1
10.620420750,0
10.620522542,1
10.620620792,0
10.620722625,1
10.620820792,0
10.620922708,1
10.621020833,0
10.621122667,1
10.621220875,0
10.621322750,1
10.621420917,0
